"datum_geschaeft_eingang","geschaeftsnummer","grg_nummer","geschaftstitel","geschaftsart","kennung","sachbegriff_grgeko_1","sachbegriff_grgeko_2","status","departement"
2024-06-05,"2024/MO 1/27","27","Motion von Reto Ammann, Stephan Tobler, Daniel Eugster, Alexander Sigg vom 5. Juni 2024 \"Warme Progression analog der kalten Progression gesetzlich regeln. Anpassung der Steuertabellen an den Nominallohnindex, entlastet die Wirtschaft und die Haushalte\"","Motion","MO","64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-06-05,"2024/MO 2/28","28","Motion von Oliver Martin, Franz Eugster, Elisabeth Rickenbach, Brigitta Engeli vom 5. Juni 2024 \"Zum Schutz und Verständlichkeit der deutschen Sprache\"","Motion","MO","",,"pendent","Departement für Erziehung und Kultur"
2024-06-05,"2024/MO 3/29","29","Motion von Beda Stähelin, Hermann Lei, Michèle Strähl vom 5. Juni 2024 \"Gerichtskostenreduktion bei Begründungsverzicht\"","Motion","MO","",,"pendent","Departement für Justiz und Sicherheit"
2024-06-19,"2024/BS 3/30","30","Botschaft betreffend Beitritt des Kantons Thurgau zur Interkantonalen Vereinbarung vom 22. Mai 2024 über die BVG- und Stiftungsaufsicht der Kantone Zürich, Glarus, Schaffhausen, Appenzell Ausserrhoden, Appenzell Innerrhoden, St. Gallen, Graubünden, Thurgau und Tessin (IVBSA)","Beschluss","BS","10.1 Kantonsverfassung und Staatsverträge",,"abgeschlossen","Departement für Bau und Umwelt"
2024-06-19,"2024/EA 4/31","31","Einfache Anfrage von Heinz Keller, Martina Pfiffner Müller, Ciril Schmidiger, Raffaella Strähl-D'Ambrosio vom 19. Juni 2024 \"Private Spitex-Anbieter erwirtschaften Dividenden auf Kosten von Kanton und Gemeinden\"","Einfache Anfrage","EA","83.2 Kranken- und Unfallversicherung, Vereinbarungen",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-06-19,"2024/EA 5/32","32","Einfache Anfrage von Oliver Martin, Marcel Wittwer, Beat Stump vom 19. Juni 2024 \"Überprüfung der ausserordentlichen Regelung des Ruhegehalts für den Regierungsrat\"","Einfache Anfrage","EA","17.7 Staatspersonal: einzelne Personalentscheide",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-06-19,"2024/MO 4/33","33","Motion von Hermann Lei, Franz Eugster, Marcel Wittwer, Aline Indergand, Oliver Martin vom 19. Juni 2024 \"Islamschulen an der Volksschule?\"","Motion","MO","",,"pendent","Departement für Erziehung und Kultur"
2024-06-19,"2024/IN 2/34","34","Interpellation von Aline Indergand, Hermann Lei, Franz Eugster, Andreas Opprecht vom 19. Juni 2024 \"kriminelle Clan-Strukturen im Kanton Thurgau\"","Interpellation","IN","31.1 StGB, EG/StGB, Verwaltungsstrafrecht",,"pendent","Departement für Justiz und Sicherheit"
2024-07-03,"2024/WE 1/35","35","Regierungsrichtlinien Thurgau 2024-2028 (RRL TG 2024-2028)","Weitere Geschäfte","WE","",,"pendent",""
2024-07-03,"2024/EA 6/36","36","Einfache Anfrage von Stefan Wolfer vom 3. Juli 2024 \"Amtsenthebungsverfahren von Einzelmitgliedern in Exekutivämtern von Behörden\"","Einfache Anfrage","EA","13.1 Gebiet, Organisation, Reglemente, Verwaltung",,"abgeschlossen","Departement für Inneres und Volkswirtschaft"
2024-07-03,"2024/EA 7/37","37","Einfache Anfrage von Michèle Strähl-Obrist vom 3. Juli 2024 \"Haben wir bald Thurgauer Polizisten ohne Schweizer Pass?\"","Einfache Anfrage","EA","51.1 Militärwesen, Beförderungen, Schiesswesen",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-07-03,"2024/EA 8/38","38","Einfache Anfrage von Sabina Peter Köstli, Barbara Dätwyler Weber vom 3. Juli 2024 \"Schutz und Prävention für Sexarbeitende im Thurgau\"","Einfache Anfrage","EA","55.1 Polizeikorps / interkantonale Zusammenarbeit",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-07-03,"2024/MO 5/39","39","Motion von Benno Schildknecht, Andreas Guhl, Josef Gemperle, Daniel Vetterli vom 3. Juli 2024 \"Anpassung Thurgauer Enteignungsgesetz TG EntG\"","Motion","MO","",,"pendent","Departement für Bau und Umwelt"
2024-07-03,"2024/MO 6/40","40","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","Motion","MO","",,"pendent","Departement für Bau und Umwelt"
