"datum_geschaeft_eingang","geschaeftsnummer","grg_nummer","geschaftstitel","geschaftsart","kennung","sachbegriff_grgeko_1","sachbegriff_grgeko_2","status","departement"
2024-12-18,"2024/NA 1/96","96","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","Standesinitiative",,"",,"pendent","Staatskanzlei"
2024-12-18,"2024/IN 12/97","97","Interpellation von Thomas Leu, Attila Wohlrab, Fabrizio Hugentobler, Markus Bürgi, Martina Pfiffner Müller vom 18. Dezember 2024 \"Lohndeckelung für die Mitglieder der Konzernleitung der Axpo Holding AG\"","Interpellation","IN","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-02-19,"2024/EB 2/98","98","Kantonsbürgerrechtsgesuche","Einbürgerungsgesuch","EB","14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,"abgeschlossen","Departement für Justiz und Sicherheit"
2025-01-22,"2024/EA 39/99","99","Einfache Anfrage von Sandrine Nikolic-Fuss vom 22. Januar 2025 \"Peregrina Stiftung: Einfluss des Kantons bei Lohnreduktionen der Peregrina Stiftung\"","Einfache Anfrage","EA","17.6 Staatspersonal: generelle Fragen",,"pendent","Departement für Finanzen und Soziales"
2025-01-22,"2024/EA 40/100","100","Einfache Anfrage von Roger Martin vom 22. Januar 2025 \"Steht das HundeG im Widerspruch mit der Tierschutzverordnung?\"","Einfache Anfrage","EA","45.1 Natur-, Pflanzen-, Tierschutz",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-01-22,"2024/EA 41/101","101","Einfache Anfrage von Celina Hug, Stefan Leuthold vom 22. Januar 2025 \"Wie kann die Thurgauer Medienvielfalt gestärkt werden?\"","Einfache Anfrage","EA","74.6 PTT, Radio, Fernsehen etc.",,"pendent","Departement für Finanzen und Soziales"
2025-01-22,"2024/EA 42/102","102","Einfache Anfrage von Marina Bruggmann, Traudi Schönegger, Isabelle Vonlanthen-Specker vom 22. Januar 2025 \"Was tut der Kanton zur Vorbereitung auf eine mögliche Fentanyl-Krise - ausser abzuwarten?\"","Einfache Anfrage","EA","81.0 Allgemeines, Organisation, Gesetz, Taxen",,"pendent","Departement für Finanzen und Soziales"
2025-01-22,"2024/EA 43/103","103","Einfache Anfrage von Thomas Niederberger, Attila Wohlrab, Gabriel Macedo, Dean Kradolfer vom 22. Januar 2025 \"Zukunft der Oberlandstrasse (OLS)\"","Einfache Anfrage","EA","72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,"pendent","Departement für Bau und Umwelt"
2025-01-22,"2024/MO 12/104","104","Motion von Aline Indergand, Daniel Vetterli, Eveline Bachmann, Manuel Sturzenegger, Jürg Marolf vom 22. Januar 2025 \"Regulierung des Kormorans\"","Motion","MO","",,"pendent","Departement für Justiz und Sicherheit"
2025-01-22,"2024/MO 13/105","105","Motion von Mathias Tschanen vom 22. Januar 2025 \"Wie kommt der Kanton Thurgau als 100% Eigner von EKT in den Genuss der Axpo Dividende?\"","Motion","MO","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-01-22,"2024/IN 13/106","106","Interpellation von Elina Müller, Edith Wohlfender-Oertig, Bernhard Braun, Andreas Opprecht, Elisabeth Rickenbach, Stefan Leuthold vom 22. Januar 2025 \"Wie weiter mit der Axpo?\"","Interpellation","IN","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-02-05,"2024/FR 5/107","107","Fragestunde vom 05.02.2025","Fragestunde","FR","10.1 Kantonsverfassung und Staatsverträge",,"abgeschlossen","Grosser Rat"
2025-02-05,"2024/EA 44/108","108","Einfache Anfrage von Beat Stump vom 5. Februar 2025 \"Was passiert in diesem Palast?\"","Einfache Anfrage","EA","34.1 Konkordate, Zusammenarbeit mit anderen Kantonen",,"pendent","Staatskanzlei"
2025-02-05,"2024/GE 5/109","109","Botschaft zur Änderung des Sozialhilfegesetzes (SHG; Pflegeverhältnisse ab Volljährigkeit / Erhöhung der Plätze von Kleinstbetreuungs- und Pflegeangeboten)","Gesetz","GE","",,"pendent",""
2025-02-05,"2024/WA 19/110","110","Wahl einer ausserordentlichen Berufsrichterin am Bezirksgericht Kreuzlingen","Wahlgeschäft","WA","",,"abgeschlossen","Grosser Rat"
2025-02-19,"2024/EA 45/111","111","Einfache Anfrage von Judith Ricklin vom 19. Februar 2025 \"Unbefriedigende Parkplatzsituation der PHTG selbst in die Hand nehmen\"","Einfache Anfrage","EA","",,"pendent","Departement für Bau und Umwelt"
2025-02-19,"2024/EA 46/112","112","Einfache Anfrage von Corinna Pasche-Strasser vom 19. Februar 2025 \"Steuerbefreiung von Kinder- und Ausbildungszulagen, welche finanzielle Auswirkungen hätte das?\"","Einfache Anfrage","EA","64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,"pendent","Departement für Finanzen und Soziales"
2025-02-19,"2024/EA 47/113","113","Einfache Anfrage von Oliver Martin, Hermann Lei vom 19. Februar 2025 \"Wie denkt der Regierungsrat mit einem massiv höheren Bevölkerungswachstum als erwartet in unserem Kanton umzugehen?\"","Einfache Anfrage","EA","",,"pendent","Departement für Bau und Umwelt"
2025-02-19,"2024/EA 48/114","114","Einfache Anfrage von Urs Schär, Ulrich Graf, Priska Peter, Jürgen Häberli, Hans Stark vom 19. Februar 2025 \"Wie ist der Thurgau / die Schweiz auf einen Ausbruch der Maul- und Klauenseuche vorbereitet?\"","Einfache Anfrage","EA","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-02-19,"2024/MO 14/115","115","Motion von Marc Rüdisüli, Sandra Stadler, Norbert Senn, Isabelle Wepfer, Jürg Marolf, Corinna Pasche-Strasser, Michaela Frei Barbosa, Christian Stricker vom 19. Februar 2025 \"Französisch stärken - ressourcenschonend, konzentriert und effizient ab der Sekundarstufe 1\"","Motion","MO","",,"pendent","Departement für Erziehung und Kultur"
2025-02-19,"2024/MO 15/116","116","Motion von Christian Caviezel, Beat Stump vom 19. Februar 2025 \"Erleichterte Einbürgerung durch gesondertes Abstimmungsverfahren für Gesuche mit ausserordentlich motiviertem Integrationscharakter\"","Motion","MO","",,"pendent","Departement für Justiz und Sicherheit"
2025-02-19,"2024/MO 16/117","117","Motion von Christan Caviezel, Raphael Stutz, Christina Fäsi vom 19. Februar 2025 \"Das Vorsorgeprinzip im Thurgau anwenden und den Zugang zu irreversiblen Eingriffen zur Geschlechtsumwandlung nur Personen vorbehalten, die nach schweizerischem Zivilgesetzbuch volljährig sind\"","Motion","MO","",,"pendent","Departement für Finanzen und Soziales"
2025-02-19,"2024/MO 17/118","118","Motion von Stephanie Eberle vom 19. Februar 2025 \"Für eine aussagekräftige Kriminalstatistik. Erfassung der Täterherkunft nach Deliktskategorien.\"","Motion","MO","",,"pendent","Departement für Justiz und Sicherheit"
2025-02-19,"2024/MO 18/119","119","Motion von Claude Brunner, Raffaela Strähl-D’Ambrosio, Ruedi Zbinden, Heinz Keller, Marina Bruggmann, Nicole Zeitner, Martina Pfiffner Müller, Franz Eugster, Isabelle Vonlanthen-Specker vom 19. Februar 2025 \"Anpassung Ausbildungsverpflichtung (Umsetzung Phase 1 der Pflegeinitiative)\"","Motion","MO","",,"pendent","Departement für Finanzen und Soziales"
2025-03-05,"2024/GE 6/120","120","Einführungsgesetz zu den Bundesgesetzen über die Alters- und Hinterlassenenversicherung und über die Invalidenversicherung (EG AHVG/IVG)","Gesetz","GE","",,"pendent",""
2025-03-05,"2024/EA 49/121","121","Einfache Anfrage von Turi Schallenberg, Ulrich Graf, Kenny Greber, Mathias Dietz vom 5. März 2025 \"IPV optimieren\"","Einfache Anfrage","EA","",,"pendent","Departement für Finanzen und Soziales"
2025-03-05,"2024/EA 50/122","122","Einfache Anfrage von Reto Ammann vom 5. März 2025 \"Regierungsrätliche Finanzstrategie - Fragen ein Jahr danach\"","Einfache Anfrage","EA","",,"pendent","Departement für Finanzen und Soziales"
2025-03-05,"2024/EA 51/123","123","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner vom 5. März 2025 \"Den öffentlichen Verkehr in der Region Untersee / Rhein stärken\"","Einfache Anfrage","EA","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-03-05,"2024/MO 19/124","124","Motion von Gottfried Möckli, Daniel Vetterli vom 5. März 2025 \"Superwahlsonntag auf Abstimmungstag legen\"","Motion","MO","",,"pendent","Staatskanzlei"
2025-03-05,"2024/BS 7/125","125","Rechenschaftsbericht 2024 der Rekurskommission in Anwaltssachen","Beschluss","BS","17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,"pendent","Departement für Justiz und Sicherheit"
2025-03-19,"2024/BS 8/126","126","Korrektur des Budgetbeschlusses des Grossen Rates vom 4. Dezember 2024","Beschluss","BS","",,"pendent",""
2025-03-19,"2024/BS 9/127","127","Geschäfts- und Nachhaltigkeitsbericht 2024 der Thurgauer Kantonalbank und Wahl der Revisionsstelle","Beschluss","BS","",,"pendent",""
2025-05-07,"2024/EB 3/128","128","Kantonsbürgerrechtsgesuche","Einbürgerungsgesuch","EB","14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,"pendent","Departement für Justiz und Sicherheit"
2025-05-07,"2024/FR 6/129","129","Fragestunde vom 07.05.2025","Fragestunde","FR","",,"pendent",""
2025-04-02,"2024/BS 10/130","130","Geschäftsbericht 2024 der Pädagogischen Hochschule Thurgau","Beschluss","BS","41.6 Hochschulen: Universitäten, Technika, Höhere Fachschule",,"pendent","Departement für Erziehung und Kultur"
2025-04-02,"2024/BS 11/131","131","Beschluss des Grossen Rates über den Geschäfts- und Nachhaltigkeitsbericht 2024 und die Jahresrechnung 2024 der Thurgauer Kantonalbank (TKB) sowie über die Wahl der Revisionsstelle","Beschluss","BS","95.1 TKB, Bankenaufsicht",,"pendent","Departement für Finanzen und Soziales"
2025-03-19,"2024/NA 2/132","132","Standesinitiative von Gabriel Macedo, Roger Martin, Stefan Mühlemann vom 19. März 2025 \"Die Ostschweiz steht hinter der Bodensee-Thurtalstrasse, der dritten Röhre Rosenbergtunnel, der zweiten Röhre Fäsenstaubtunnel und dem Korridor N25 St. Gallen - Appenzell\"","Standesinitiative",,"",,"pendent","Departement für Bau und Umwelt"
2025-03-19,"2024/AN 1/133","133","Antrag nach § 52 GOGR von Oliver Martin, Dean Kradolfer, Marcel Wittwer, Edith Wohlfender vom 19. März 2025 \"Potenzial von Digital Asset Mining im Kanton Thurgau analysieren\"","Antrag nach § 52 bzw. § 46 der Geschäftsordnung","AN","",,"pendent","Departement für Inneres und Volkswirtschaft"
2025-03-19,"2024/EA 52/134","134","Einfache Anfrage von Robin Spiri vom 19. März 2025 \"Vollzug des Bundesgerichtsentscheides - Abbau und Einstellung automatischer Fahrzeugfahndung (Kennzeichenscanner)\"","Einfache Anfrage","EA","",,"pendent","Departement für Justiz und Sicherheit"
2025-03-19,"2024/EA 53/135","135","Einfache Anfrage von Stefan Leuthold, Elisabeth Rickenbach, Sabina Peter Köstli, Karin Bétrisey, Nicole Zeitner vom 19. März 2025 \"Den Kanton Thurgau für Ärztinnen und Ärzte attraktiver machen\"","Einfache Anfrage","EA","",,"pendent","Departement für Finanzen und Soziales"
2025-03-19,"2024/EA 54/136","136","Einfache Anfrage von Reto Ammann vom 19. März 2025 \"Kippt der See und geht dem Untersee schon bald der Sauerstoff aus?\"","Einfache Anfrage","EA","",,"pendent","Departement für Bau und Umwelt"
2025-04-02,"2024/WA 20/137","137","Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2025/2026","Wahlgeschäft","WA","17.2 Regierungsrat",,"pendent",""
2025-05-21,"2024/WA 21/138","138","Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2025/2026","Wahlgeschäft","WA","17.1 Grosser Rat",,"pendent",""
2025-05-21,"2024/WA 22/139","139","Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2025/2026","Wahlgeschäft","WA","17.1 Grosser Rat",,"pendent",""
