"doc_title","doc_link","titel","geschaeftsnummer"
"Entwurf Regierungsrat (24/BS 2/21)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123158/Entwurf%20Regierungsrat%20(24-BS%202-21).pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Beilage_1 Analysepapier Taskforce Veranlagungsstand","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123157/Beilage_1%20Analysepapier%20Taskforce%20Veranlagungsstand.pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Beilage_2 Anhang Personalbedarfsermittlung zum Analysepapier","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123156/Beilage_2%20%20Anhang%20Personalbedarfsermittlung%20zum%20Analysepapier.pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Beilage_3 Berechnung Mehrkosten Botschaft","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123155/Beilage_3%20Berechnung%20Mehrkosten%20Botschaft.pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Tabelle_1 Personalbedarfsermittlung Juristische Personen","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123154/Tabelle_1%20Personalbedarfsermittlung%20Juristische%20Personen.pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Tabelle_2 Personalbedarfsermittlung Natürliche Personen","https://grgeko.tg.ch/o/grgeko-portlet/activity/6123153/Tabelle_2%20Personalbedarfsermittlung%20Nat%C3%BCrliche%20Personen.pdf","Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung","2024/BS 2/21"
"Wortlaut vom 05.06.2024 (24/EA 1/23)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143553/Wortlaut%20vom%2005.06.2024%20(24-EA%201-23).pdf","Einfache Anfrage von Jost Rüegg vom 5. Juni 2024 \"Bewilligungspraxis adaptiver 5G-Mobilfunkantennen im Thurgau\"","2024/EA 1/23"
"Wortlaut vom 05.06.2024 (24/EA 2/24)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143552/Wortlaut%20vom%2005.06.2024%20(24-EA%202-24).pdf","Einfache Anfrage von Reto Ammann vom 5. Juni 2024 \"Vom Erziehungsdepartement zum Bildungsdepartement\"","2024/EA 2/24"
"Wortlaut vom 05.06.2024 (24/EA 3/25)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143551/Wortlaut%20vom%2005.06.2024%20(24-EA%203-25).pdf","Einfache Anfrage von Andreas Opprecht und Maja Brühlmann Zwahlen vom 5. Juni 2024 \"Bald keine Poststellen mehr im Thurgau?\"","2024/EA 3/25"
"Wortlaut/Begründung vom 05.06.2024 (24/IN 1/26)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143550/Wortlaut-Begr%C3%BCndung%20vom%2005.06.2024%20(24-IN%201-26).pdf","Interpellation von Kenny Greber und Turi Schallenberg vom 5. Juni 2024 \"Koordinierter Umgang mit Staatsverweigerern und Reichsbürgern\"","2024/IN 1/26"
"Wortlaut/Begründung vom 05.06.2024 (24/MO 1/27)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143549/Wortlaut-Begr%C3%BCndung%20vom%2005.06.2024%20(24-MO%201-27).pdf","Motion von Reto Ammann, Stephan Tobler, Daniel Eugster und Alexander Sigg vom 5. Juni 2024 \"Warme Progression analog der kalten Progression gesetzlich regeln. Anpassung der Steuertabellen an den Nominallohnindex, entlastet die Wirtschaft und die Haushalte\"","2024/MO 1/27"
"Wortlaut/Begründung vom 05.06.2024 (24/MO 2/28)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143548/Wortlaut-Begr%C3%BCndung%20vom%2005.06.2024%20(24-MO%202-28).pdf","Motion von Oliver Martin, Franz Eugster, Elisabeth Rickenbach und Brigitta Engeli vom 5. Juni 2024 \"Zum Schutz und Verständlichkeit der deutschen Sprache\"","2024/MO 2/28"
"Wortlaut/Begründung vom 05.06.2024 (24/MO 3/29)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143547/Wortlaut-Begr%C3%BCndung%20vom%2005.06.2024%20(24-MO%203-29).pdf","Motion von Beda Stähelin, Hermann Lei und Michèle Strähl vom 5. Juni 2024 \"Gerichtskostenreduktion bei Begründungsverzicht\"","2024/MO 3/29"
